Date,Close-Last,Volume,Open,High,Low
2017-05-23,106.27,3457120,106.07,106.56,105.98
2017-05-24,106.22,3470627,106.1,106.36,105.725
2017-05-25,105.11,5291570,106.1,106.71,104.72
2017-05-26,104.72,3746477,105.05,105.285,104.6
2017-05-30,104.06,4283456,104.35,104.7105,103.7505
2017-05-31,103.48,8034602,103.55,103.89,103.07
2017-06-01,104.27,4759738,103.69,104.28,103.43
2017-06-02,103.11,5860648,103.82,103.94,102.77
2017-06-05,103.19,4517112,102.8,103.58,102.6301
2017-06-06,104.17,4683021,103.11,104.45,102.76
2017-06-07,103.77,7190276,103.97,104.43,102.55
2017-06-08,104,6460325,103.44,104.74,103.44
2017-06-09,106.4,6589063,104.01,106.49,104.01
2017-06-12,108.04,8690153,107.42,108.43,107.2846
2017-06-13,108.13,6089155,108.34,108.49,107.16
2017-06-14,106.6,6192896,107.91,107.99,105.74
2017-06-15,106.33,5441421,106.5,106.8,105.87
2017-06-16,108.35,11628150,106.94,108.36,106.21
2017-06-19,107.46,4478874,108.31,108.38,107.14
2017-06-20,106.48,5166555,106.25,106.6,105.38
2017-06-21,104.49,6987283,105.89,106.9,103.92
2017-06-22,104.45,4196653,104.48,105.14,104.04
2017-06-23,105,5763098,104.25,105.42,104.24
2017-06-26,104.14,3602029,105.03,105.19,104.03
2017-06-27,104.07,4155180,104.73,104.89,104.03
2017-06-28,104.28,4156329,104.43,104.9,104.04
2017-06-29,104.12,4282767,104.38,105.15,104.05
2017-06-30,104.33,5496922,104.53,104.72,103.89
2017-07-03,106.3,4419061,104.24,106.96,104.24
2017-07-05,104.62,4476953,105.99,106.3,104.27
2017-07-06,103.82,5084763,104.67,105.13,103.71
2017-07-07,103.49,6288403,103.59,103.76,102.81
2017-07-10,103.04,4624804,103.44,103.581,102.6
2017-07-11,103.12,4322332,103.15,103.5,102.55
2017-07-12,103.89,3976570,104,104.75,103.47
2017-07-13,104.13,4439125,103.8,104.21,103.46
2017-07-14,104.44,3591805,104.38,104.64,103.73
2017-07-17,104.21,5570540,104.32,104.97,104.08
2017-07-18,103.72,4315980,104.6,104.6,103.51
2017-07-19,104.46,4925916,103.56,104.48,103.51
2017-07-20,104.63,5353741,105,105.37,103.815
2017-07-21,103.25,5300142,104.18,104.38,103.15
2017-07-24,103.2,4064662,103.18,103.57,102.92
2017-07-25,104.39,7085565,104.45,105.15,104.32
2017-07-26,105.12,5880748,104.63,106.08,104.2
2017-07-27,106.11,5887064,104.88,106.3166,104.61
2017-07-28,108.12,7812377,106.71,109.13,106.36
2017-07-31,109.19,7545793,108.39,110,108.15
2017-08-01,110.78,8148627,109.54,110.97,109.42
2017-08-02,110.46,6198277,110.39,111.195,109.85
2017-08-03,109.43,5604427,110.23,110.45,109.05
2017-08-04,110.11,4642402,109.43,110.2,109.43
2017-08-07,109.78,4762664,109.81,110.29,109.5801
2017-08-08,110.35,4106768,110,110.71,109.77
2017-08-09,110.89,3966793,110.74,111.4109,110.26
2017-08-10,110.11,4941604,111.23,111.44,110.03
2017-08-11,109.23,3382440,110.2,110.49,109.13
2017-08-14,108.71,4280841,109.26,109.82,108.32
2017-08-15,108.57,5310334,108.75,108.9,107.525
2017-08-16,106.84,4186362,107.63,107.92,106.69
2017-08-17,105.92,5735318,106.61,106.87,105.91
2017-08-18,106.48,5466718,105.84,107.34,105.5
2017-08-21,105.78,3506005,106.48,106.48,105.3
2017-08-22,106.36,5608620,105.99,106.92,105.81
2017-08-23,106.61,4185754,106.21,107.06,106.11
2017-08-24,107.44,5058786,106.5,107.67,106.33
2017-08-25,108.23,4383476,107.82,108.71,107.52
