Date,Close-Last,Volume,Open,High,Low
2023-09-05,166.46,9755844,165.28,167.56,165.2
2023-09-06,166.63,7195549,166.28,167.4387,165.58
2023-09-07,166.64,7925879,167.14,167.9,166.28
2023-09-08,167.21,7435923,167.42,168.489,166.705
2023-09-11,163.76,7155050,168.08,168.59,162.87
2023-09-12,166.81,7521146,165.3,167.19,165.1
2023-09-13,166.2,5759464,167.405,167.75,165.58
2023-09-14,167.23,8822822,167.7,168.5,167.1192
2023-09-15,166.5,17439740,166.21,168.37,165.88
2023-09-18,167.22,7027558,167.87,168.36,166.4
2023-09-19,167.2,6617029,168.69,168.96,166.425
2023-09-20,166.69,5942108,167.07,168.51,166.6
2023-09-21,165.19,7150432,167.12,167.87,165.05
2023-09-22,166.28,5965497,166.23,167.42,165.94
2023-09-25,168.71,5509956,166.33,168.78,165.99
2023-09-26,167.8,5659200,167.44,168.41,166.98
2023-09-27,171.04,9124395,169.37,171.23,168.81
2023-09-28,170.59,7151760,170.55,171.7,169.43
2023-09-29,168.62,7396096,170.49,170.5,167.82
2023-10-02,166.54,6839611,168.34,168.57,165.23
2023-10-03,166.93,6168626,165.92,167.36,165.51
2023-10-04,163.04,9664693,164.7,164.98,161.49
2023-10-05,163.9,8073048,161.42,164.7537,161.39
2023-10-06,162.23,10190410,164.31,164.37,158.99
2023-10-09,166.72,8183490,166.38,168.19,164.95
2023-10-10,166.54,6512874,166.765,167.4,165.675
2023-10-11,161.1,12570720,165.07,165.08,160.48
2023-10-12,161.23,7396969,163.26,163.26,160.9
2023-10-13,164.06,8044677,163.41,164.84,162.3
2023-10-16,165.4,5445954,165.34,165.81,163.85
2023-10-17,167.59,7538316,164.83,168.2,164.65
2023-10-18,168.92,6893452,168.47,169.7,167.5817
2023-10-19,169.1,6580157,168.7,170.17,167.51
2023-10-20,166.83,7458286,168.41,169.1,166.095
2023-10-23,160.68,16232380,163.3,164.43,160.25
2023-10-24,156.65,17689940,160.89,161.08,156.47
2023-10-25,155.87,10502370,156.94,157.41,155.17
2023-10-26,154.75,10830420,155.01,155.18,153.63
2023-10-27,144.35,24524340,150.72,151.25,143.96
